version,commitId,file,addedLines,removedLines,nbCommits,nbCommitsPreviousSolveBug,nbCommitsPreviousEdited,nbDevelopers,nbDevelopersPrevious,averageTimeBetweenEdits,averageTimeBetweenEditsPrevious,averageExpertiseDeveloper,minimumExpertiseDeveloper,nbCommitsCommentEdited,nbCommitsNoCommentEdited,bugStatus
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/queries/positive/accumulo_custom_key.q,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/queries/positive/accumulo_custom_key2.q,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/queries/positive/accumulo_joins.q,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/queries/positive/accumulo_predicate_pushdown.q,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/queries/positive/accumulo_queries.q,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/queries/positive/accumulo_single_sourced_multi_insert.q,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/results/positive/accumulo_custom_key.q.out,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/results/positive/accumulo_custom_key2.q.out,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/results/positive/accumulo_joins.q.out,4,10,1,0,2,1,2,,76386672.0,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/results/positive/accumulo_predicate_pushdown.q.out,61,138,2,1,5,2,4,7528901.0,19096668.0,1.0,1,0,2,0
